周期,潜伏_1,潜伏_2,潜伏_3,发病_1,发病_2,发病_3,发病_4,发病_5,发病_6,发病_7,发病,治愈,现存确诊,累计确诊
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
3,0,0,1,0,0,0,0,0,0,0,0,0,1,1
4,3,0,0,1,0,0,0,0,0,0,1,0,4,4
5,3,3,0,0,1,0,0,0,0,0,1,0,7,7
6,3,3,3,0,0,1,0,0,0,0,1,0,10,10
7,12,3,3,3,0,0,1,0,0,0,4,0,22,22
8,21,12,3,3,3,0,0,1,0,0,7,0,43,43
9,30,21,12,3,3,3,0,0,1,0,10,0,73,73
10,66,30,21,12,3,3,3,0,0,1,22,0,139,139
11,126,66,30,21,12,3,3,3,0,0,42,1,264,265
12,216,126,66,30,21,12,3,3,3,0,72,1,480,481
13,414,216,126,66,30,21,12,3,3,3,138,1,894,895
14,783,414,216,126,66,30,21,12,3,3,261,4,1674,1678
15,1422,783,414,216,126,66,30,21,12,3,474,7,3093,3100
16,2655,1422,783,414,216,126,66,30,21,12,885,10,5745,5755
17,4968,2655,1422,783,414,216,126,66,30,21,1656,22,10701,10723
18,9171,4968,2655,1422,783,414,216,126,66,30,3057,43,19851,19894
19,17046,9171,4968,2655,1422,783,414,216,126,66,5682,73,36867,36940
20,31752,17046,9171,4968,2655,1422,783,414,216,126,10584,139,68553,68692
21,58887,31752,17046,9171,4968,2655,1422,783,414,216,19629,265,127314,127579
22,109377,58887,31752,17046,9171,4968,2655,1422,783,414,36459,481,236475,236956
23,203391,109377,58887,31752,17046,9171,4968,2655,1422,783,67797,895,439452,440347
24,377703,203391,109377,58887,31752,17046,9171,4968,2655,1422,125901,1678,816372,818050
25,701568,377703,203391,109377,58887,31752,17046,9171,4968,2655,233856,3100,1516518,1519618
26,1303776,701568,377703,203391,109377,58887,31752,17046,9171,4968,434592,5755,2817639,2823394
27,2421981,1303776,701568,377703,203391,109377,58887,31752,17046,9171,807327,10723,5234652,5245375
28,4499172,2421981,1303776,701568,377703,203391,109377,58887,31752,17046,1499724,19894,9724653,9744547
29,8359362,4499172,2421981,1303776,701568,377703,203391,109377,58887,31752,2786454,36940,18066969,18103909
30,15530049,8359362,4499172,2421981,1303776,701568,377703,203391,109377,58887,5176683,68692,33565266,33633958
31,28850904,15530049,8359362,4499172,2421981,1303776,701568,377703,203391,109377,9616968,127579,62357283,62484862
32,53600859,28850904,15530049,8359362,4499172,2421981,1303776,701568,377703,203391,17866953,236956,115848765,116085721
33,99580833,53600859,28850904,15530049,8359362,4499172,2421981,1303776,701568,377703,33193611,440347,215226207,215666554
34,185000436,99580833,53600859,28850904,15530049,8359362,4499172,2421981,1303776,701568,61666812,818050,399848940,400666990
35,343698309,185000436,99580833,53600859,28850904,15530049,8359362,4499172,2421981,1303776,114566103,1519618,742845681,744365299
36,638529480,343698309,185000436,99580833,53600859,28850904,15530049,8359362,4499172,2421981,212843160,2823394,1380071385,1382894779
37,1186264845,638529480,343698309,185000436,99580833,53600859,28850904,15530049,8359362,4499172,395421615,5245375,2563914249,2569159624
38,2203862256,1186264845,638529480,343698309,185000436,99580833,53600859,28850904,15530049,8359362,734620752,9744547,4763277333,4773021880
39,4094372610,2203862256,1186264845,638529480,343698309,185000436,99580833,53600859,28850904,15530049,1364790870,18103909,8849290581,8867394490
40,7606576998,4094372610,2203862256,1186264845,638529480,343698309,185000436,99580833,53600859,28850904,2535525666,33633958,16440337530,16473971488
41,14131611054,7606576998,4094372610,2203862256,1186264845,638529480,343698309,185000436,99580833,53600859,4710537018,62484862,30543097680,30605582542
42,26253926307,14131611054,7606576998,4094372610,2203862256,1186264845,638529480,343698309,185000436,99580833,8751308769,116085721,56743423128,56859508849
43,48774914802,26253926307,14131611054,7606576998,4094372610,2203862256,1186264845,638529480,343698309,185000436,16258304934,215666554,105418757097,105634423651
44,90614746656,48774914802,26253926307,14131611054,7606576998,4094372610,2203862256,1186264845,638529480,343698309,30204915552,400666990,195848503317,196249170307
45,168345430650,90614746656,48774914802,26253926307,14131611054,7606576998,4094372610,2203862256,1186264845,638529480,56115143550,744365299,363850235658,364594600957
46,312754586616,168345430650,90614746656,48774914802,26253926307,14131611054,7606576998,4094372610,2203862256,1186264845,104251528872,1382894779,675966292794,677349187573
47,581040032049,312754586616,168345430650,90614746656,48774914802,26253926307,14131611054,7606576998,4094372610,2203862256,193680010683,2569159624,1255820059998,1258389219622
48,1079464737231,581040032049,312754586616,168345430650,90614746656,48774914802,26253926307,14131611054,7606576998,4094372610,359821579077,4773021880,2333080934973,2337853956853
49,2005445379249,1079464737231,581040032049,312754586616,168345430650,90614746656,48774914802,26253926307,14131611054,7606576998,668481793083,8867394490,4334431941612,4343299336102
50,3725745744402,2005445379249,1079464737231,581040032049,312754586616,168345430650,90614746656,48774914802,26253926307,14131611054,1241915248134,16473971488,8052571109016,8069045080504
51,6921745122933,3725745744402,2005445379249,1079464737231,581040032049,312754586616,168345430650,90614746656,48774914802,26253926307,2307248374311,30605582542,14960184620895,14990790203437
52,12859319481759,6921745122933,3725745744402,2005445379249,1079464737231,581040032049,312754586616,168345430650,90614746656,48774914802,4286439827253,56859508849,27793250176347,27850109685196
53,23890231970559,12859319481759,6921745122933,3725745744402,2005445379249,1079464737231,581040032049,312754586616,168345430650,90614746656,7963410656853,105634423651,51634707232104,51740341655755
54,44383623099390,23890231970559,12859319481759,6921745122933,3725745744402,2005445379249,1079464737231,581040032049,312754586616,168345430650,14794541033130,196249170307,95927715584838,96123964755145
55,82456545252717,44383623099390,23890231970559,12859319481759,6921745122933,3725745744402,2005445379249,1079464737231,581040032049,312754586616,27485515084239,364594600957,178215915406905,178580510007862
56,153188977404546,82456545252717,44383623099390,23890231970559,12859319481759,6921745122933,3725745744402,2005445379249,1079464737231,581040032049,51062992468182,677349187573,331092138224835,331769487412408
57,284596726606569,153188977404546,82456545252717,44383623099390,23890231970559,12859319481759,6921745122933,3725745744402,2005445379249,1079464737231,94865575535523,1258389219622,615107824799355,616366214018977
58,528727968153027,284596726606569,153188977404546,82456545252717,44383623099390,23890231970559,12859319481759,6921745122933,3725745744402,2005445379249,176242656051009,2337853956853,1142756328215151,1145094182172004
59,982278564228918,528727968153027,284596726606569,153188977404546,82456545252717,44383623099390,23890231970559,12859319481759,6921745122933,3725745744402,327426188076306,4343299336102,2123029447064820,2127372746400922
60,1824891506815419,982278564228918,528727968153027,284596726606569,153188977404546,82456545252717,44383623099390,23890231970559,12859319481759,6921745122933,608297168938473,8069045080504,3944195208135837,3952264253216341
