投放站点编号,锁车桩数,借数量,还数量,维修数量
GXZXC001,20,400,224 ,2 
GXZXC002,20,460,280 ,2 
GXZXC003,20,860,602 ,5 
GXZXC004,30,1100,770 ,3 
GXZXC005,30,1260,882 ,8 
GXZXC006,20,260,140 ,1 
GXZXC007,40,2630,3551 ,10 
GXZXC008,20,880,616 ,5 
GXZXC009,40,3708,4481 ,3 
GXZXC010,40,3679,5622 ,5 
GXZXC011,20,1600,1120 ,10 
GXZXC012,20,1340,938 ,9 
GXZXC013,30,1820,1274 ,12 
GXZXC014,20,1060,742 ,7 
GXZXC015,20,1540,1078 ,10 
GXZXC016,40,4840,5601 ,32 
GXZXC017,20,460,322 ,3 
GXZXC018,20,1780,1246 ,12 
GXZXC019,20,860,602 ,5 
GXZXC020,20,1340,938 ,9 
GXZXC021,20,680,476 ,4 
GXZXC022,40,3275,4236 ,25 
GXZXC023,40,3105,4230 ,23 
GXZXC024,20,1760,1232 ,11 
GXZXC025,20,860,602 ,5 
GXZXC026,20,460,308 ,3 
GXZXC027,20,1320,924 ,8 
GXZXC028,40,3612,3071 ,24 
GXZXC029,20,680,476 ,4 
GXZXC030,20,420,430 ,2 
GXZXC031,20,860,602 ,5 
GXZXC032,40,4802,5696 ,36 
GXZXC033,40,3614,4398 ,26 
GXZXC034,20,1000,700 ,6 
GXZXC035,20,980,686 ,6 
GXZXC036,20,960,672 ,6 
GXZXC037,40,3196,3824 ,25 
GXZXC038,20,1580,1106 ,9 
GXZXC039,20,1400,980 ,8 
GXZXC040,30,1660,1162 ,10 
GXZXC041,20,1540,1078 ,8 
GXZXC042,20,1380,966 ,9 
GXZXC043,20,1160,812 ,7 
GXZXC044,20,99,89 ,6 
GXZXC045,20,1300,910 ,8 
GXZXC046,20,151,154 ,7 
GXZXC047,20,1520,1064 ,10 
GXZXC048,20,149,150 ,9 
GXZXC049,20,1160,812 ,7 
GXZXC050,20,980,686 ,6 
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
